
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,21160427,Do interleukin polymorphisms play a role in the prevention of colorectal adenoma recurrence by dietary flavonols?,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),"Gerd null Bobe, Gwen null Murphy, Paul S Albert, Leah B Sansbury, Matthew R Young, Elaine null Lanza, Arthur null Schatzkin, Nancy H Colburn, Amanda J Cross, 21160427 null 21160427, ","Laboratory of Cancer Prevention, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Department of Health and Human Services, Bethesda, MD 20892, USA. gerd.bobe@oregonstate.edu, Center for Cancer Research Center for Cancer Research Memphis United States Nutritional Epidemiology Branch Nutritional Epidemiology Branch Radiation Epidemiology Branch Rockville United States National Institute of Child Health and Human Developmenth National Institute of Child Health and Human Developmenth null null National Cancer Institute National Cancer Institute NIH Bethesda United States ","Adenoma,Aged,Colorectal Neoplasms,Diet,Female,Flavonols,Humans,Interleukin-10,Interleukin-6,Interleukins,Male,Middle Aged,Neoplasm Recurrence, Local,Polymorphism, Single Nucleotide,Prognosis,",1,147,No,True Negative
0.3,21109582,Analysis of progression-free survival data using a discrete time survival model that incorporates measurements with and without diagnostic error.,"Clinical trials (London, England)","Sally null Hunsberger, Paul S Albert, Lori null Dodd, 21109582 null 21109582, ","National Cancer Institute, Biostatistics Research Branch, Rockville, MD, USA. sallyh@ctep.nci.nih.gov, National Cancer Institute National Cancer Institute NIH Bethesda United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States National Institute of Allergy and Infectious Diseases National Institute of Allergy and Infectious Diseases NIH Bethesda United States ","Algorithms,Computer Simulation,Data Interpretation, Statistical,Diagnostic Errors,Disease Progression,Humans,Maryland,Models, Statistical,Multivariate Analysis,Neoplasms,Research Design,Sensitivity and Specificity,Statistics as Topic,Survival Analysis,Time Factors,",1,147,No,True Negative
0.3,20849547,On estimating the relationship between longitudinal measurements and time-to-event data using a simple two-stage procedure.,Biometrics,"Paul S Albert, Joanna H Shih, 20849547 null 20849547, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland 20892, USA. albertp@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States National Cancer Institute National Cancer Institute NIH Bethesda United States ","Bias (Epidemiology),Biological Markers,Biometry,Longitudinal Studies,Models, Statistical,Regression Analysis,Software,Time Factors,",1,147,No,True Negative
0.3,20723870,Long-term physical and neurologic development in newborn infants with isolated single umbilical artery.,American journal of obstetrics and gynecology,"Shilpa null Chetty-john, Jun null Zhang, Zhen null Chen, Paul null Albert, Liping null Sun, Mark null Klebanoff, Una null Grewal, 20723870 null 20723870, ","National Human Genome Research Institute, National Institutes of Health, Bethesda, MD, USA. schetty@stanford.edu, National Human Genome Research Institute NIH Natl. Hum. Genome Research Institute National Human Genome Research Institute Bethesda United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adult,Birth Weight,Body Height,Body Weight,Case-Control Studies,Cephalometry,Child Development,Female,Humans,Infant, Newborn,Intelligence Tests,Linear Models,Longitudinal Studies,Male,Maternal Age,Neuropsychological Tests,Pregnancy,Sex Distribution,Smoking,Social Class,Umbilical Arteries,",1,147,No,True Negative
0.3,20662830,Binary regression analysis with pooled exposure measurements: a regression calibration approach.,Biometrics,"Zhiwei null Zhang, Paul S Albert, 20662830 null 20662830, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention Research,a€‚Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland 20892, USA. zhiwei.zhang@nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Biological Markers,Biometry,Calibration,Computer Simulation,Environmental Exposure,Humans,Methods,Normal Distribution,Regression Analysis,",1,147,No,True Negative
0.3,20589162,Influence of hypoxia induced by minimally invasive prostatectomy on gene expression: implications for biomarker analysis.,American journal of translational research,"Heidi S Erickson, John W Josephson, Manish null Vira, Paul S Albert, John W Gillespie, Jaime null Rodriguez-canales, Peter A Pinto, Rodrigo F Chuaqui, Michael R Emmert-buck, Jonathan A Coleman, ","Department of Thoracic/Head and Neck Medical Oncology, The University of Texas M.D. Anderson Cancer Center, Houston, Texas 77030, USA; Pathogenetics Unit, Laboratory of Pathology, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA., ","Laparoscopic surgery,gene expression analysis,hypoxia,prostatectomy,tissue microdissection,warm ischemia,",1,147,No,True Negative
0.3,20501764,"Serum adiponectin, leptin, C-peptide, homocysteine, and colorectal adenoma recurrence in the Polyp Prevention Trial.","Cancer epidemiology, biomarkers ","Gerd null Bobe, Gwen null Murphy, Connie J Rogers, Kenneth W Hance, Paul S Albert, Adeyinka O Laiyemo, Leah B Sansbury, Elaine null Lanza, Arthur null Schatzkin, Amanda J Cross, ","Laboratory of Cancer Prevention, Center for Cancer Research, National Cancer Institute (NCI), NIH, Department of Health and Human Services (DHHS), Bethesda, Maryland, USA. gerd.bobe@oregonstate.edu, ","Adenoma,Adiponectin,Adult,Aged,Aged, 80 and over,C-Peptide,Colorectal Neoplasms,Diet,Female,Follow-Up Studies,Homocysteine,Humans,Leptin,Male,Middle Aged,Neoplasm Recurrence, Local,Recurrence,Risk Factors,",1,147,No,True Negative
0.3,20484173,Interleukin-6 as a potential indicator for prevention of high-risk adenoma recurrence by dietary flavonols in the polyp prevention trial.,"Cancer prevention research (Philadelphia, Pa.)","Gerd null Bobe, Paul S Albert, Leah B Sansbury, Elaine null Lanza, Arthur null Schatzkin, Nancy H Colburn, Amanda J Cross, ","Center for Cancer Research, National Cancer Institute, NIH, Department of Health and Human Services, Bethesda, Maryland, USA. gerd.bobe@oregonstate.edu, ","Adenocarcinoma,Adenoma,Adenomatous Polyps,Adult,Aged,Anticarcinogenic Agents,Antioxidants,Biological Markers,Colonic Neoplasms,Colonic Polyps,Colorectal Neoplasms,Diet Records,Diet, Fat-Restricted,Dietary Fiber,Female,Flavonols,Follow-Up Studies,Fruit,Humans,Inflammation,Interleukin-6,Intervention Studies,Male,Middle Aged,Phytotherapy,Risk,Secondary Prevention,Vegetables,",1,147,No,True Negative
0.3,20386105,Use of multiple assays subject to detection limits with regression modeling in assessing the relationship between exposure and outcome.,"Epidemiology (Cambridge, Mass.)","Paul S Albert, Ofer null Harel, Neil null Perkins, Richard null Browne, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Rockville, MD 20906, USA. albertp@mail.nih.gov, ","Biological Assay,Biological Markers,Endometriosis,Environmental Exposure,Epidemiologic Studies,Female,Humans,Limit of Detection,Models, Statistical,Outcome Assessment (Health Care),Polychlorinated Biphenyls,Regression Analysis,Risk Assessment,",1,147,No,True Negative
0.3,20308447,Prostate cancer: value of multiparametric MR imaging at 3 T for detection--histopathologic correlation.,Radiology,"Baris null Turkbey, Peter A Pinto, Haresh null Mani, Marcelino null Bernardo, Yuxi null Pang, Yolanda L Mckinney, Kiranpreet null Khurana, Gregory C Ravizzini, Paul S Albert, Maria J Merino, Peter L Choyke, ","Molecular Imaging Program, National Cancer Institute, National Institutes of Health, 10 Center Dr, MSC 1182, Bldg 10, Room 1B40, Bethesda, MD 20892-1088, USA., ","Adult,Aged,Biopsy,Confidence Intervals,Contrast Media,Gadolinium DTPA,Humans,Image Interpretation, Computer-Assisted,Magnetic Resonance Imaging,Magnetic Resonance Spectroscopy,Male,Middle Aged,Predictive Value of Tests,Prospective Studies,Prostatectomy,Prostatic Neoplasms,Sensitivity and Specificity,Statistics, Nonparametric,",1,147,No,True Negative
0.3,20150385,A phase I/II trial of enzastaurin in patients with recurrent high-grade gliomas.,Neuro-oncology,"Teri N Kreisl, Svetlana null Kotliarova, John A Butman, Paul S Albert, Lyndon null Kim, Luna null Musib, Donald null Thornton, Howard A Fine, ","Neuro-Oncology Branch, National Cancer Institute, NIH, 9030 Old Georgetown Road, Bloch Bldg. 82, room 225, Bethesda, MD 20892, USA., ","Anticonvulsants,Antineoplastic Agents,Brain Neoplasms,Glioma,Humans,Indoles,Kaplan-Meier Estimate,Neoplasm Recurrence, Local,",1,147,No,True Negative
0.3,20143438,"Phase 2 trial of talampanel, a glutamate receptor inhibitor, for adults with recurrent malignant gliomas.",Cancer,"Fabio M Iwamoto, Teri N Kreisl, Lyndon null Kim, J Paul Duic, John A Butman, Paul S Albert, Howard A Fine, ","Neuro-Oncology Branch, National Cancer Institute, National Institutes of Health, Bethesda, Maryland, USA., ","Adult,Aged,Antineoplastic Agents,Benzodiazepines,Brain Neoplasms,Disease-Free Survival,Drug Evaluation,Female,Glioma,Humans,Male,Middle Aged,Receptors, AMPA,",1,147,No,True Negative
0.3,20002400,Modeling familial association of ages at onset of disease in the presence of competing risk.,Biometrics,"Joanna H Shih, Paul S Albert, ","Biometric Research Branch, National Cancer Institute, Rockville, Maryland 20852, USA. jshih@mail.nih.gov, ","Age of Onset,Humans,Models, Statistical,Risk,",1,147,No,True Negative
0.3,19889807,"Consumption of a legume-enriched, low-glycemic index diet is associated with biomarkers of insulin resistance and inflammation among men at risk for colorectal cancer.",The Journal of nutrition,"Terryl J Hartman, Paul S Albert, Zhiying null Zhang, Deborah null Bagshaw, Penny M Kris-etherton, Jan null Ulbrecht, Carla K Miller, Gerd null Bobe, Nancy H Colburn, Elaine null Lanza, ","Department of Nutritional Sciences, The Pennsylvania State University, University Park, PA 16870, USA. tjh9@psu.edu, ","Biological Markers,Colorectal Neoplasms,Cross-Over Studies,Diet,Fabaceae,Glycemic Index,Humans,Inflammation,Insulin Resistance,Male,Middle Aged,Risk Factors,",1,147,No,True Negative
0.3,19850885,Identification of EpCAM as a molecular target of prostate cancer stroma.,The American journal of pathology,"Sumana null Mukherjee, Annely M Richardson, Jaime null Rodriguez-canales, Kris null Ylaya, Heidi S Erickson, Audrey null Player, Ernest S Kawasaki, Peter A Pinto, Peter L Choyke, Maria J Merino, Paul S Albert, Rodrigo F Chuaqui, Michael R Emmert-buck, ","Pathogenetics Unit, Division of Cancer Treatment and Diagnosis, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892-4605, USA., ","Antigens, Neoplasm,Cell Adhesion Molecules,Extracellular Matrix,Humans,Image Processing, Computer-Assisted,Immunohistochemistry,Male,Prostatic Neoplasms,Tumor Markers, Biological,",1,147,No,True Negative
0.3,19763231,A Bayesian analysis for longitudinal semicontinuous data with an application to an acupuncture clinical trial.,"Computational statistics ","Pulak null Ghosh, Paul S Albert, ","Department of Biostatistics and Winship Cancer Institute, Emory University, Atlanta, USA., ",",",1,147,No,True Negative
0.3,19643809,"The effect of strict adherence to a high-fiber, high-fruit and -vegetable, and low-fat eating pattern on adenoma recurrence.",American journal of epidemiology,"Leah B Sansbury, Kay null Wanke, Paul S Albert, Lisa null Kahle, Arthur null Schatzkin, Elaine null Lanza, D null Demets, ","Division of Cancer Control and Population Sciences, 6130 Executive Boulevard, Room 5106, Mail Stop Code 7324, Bethesda, MD 20892, USA. sansburl@mail.nih.gov, ","Adenoma,Aged,Cohort Studies,Colonic Neoplasms,Colonoscopy,Diet, Fat-Restricted,Dietary Fiber,Female,Food Habits,Humans,Male,Middle Aged,Neoplasm Recurrence, Local,Patient Compliance,Retrospective Studies,",1,147,No,True Negative
0.3,19549766,Urine analysis and protein networking identify met as a marker of metastatic prostate cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,"Andrea L Russo, Kimberly null Jedlicka, Meredith null Wernick, Debbie null Mcnally, Melissa null Kirk, Mary null Sproull, Sharon null Smith, Uma null Shankavaram, Aradhana null Kaushal, William D Figg, William null Dahut, Deborah null Citrin, Donald P Bottaro, Paul S Albert, Philip J Tofilon, Kevin null Camphausen, ","Radiation Oncology Branch, National Cancer Institute, H. Lee Moffitt Cancer Center, Tampa, Florida, USA., ","Enzyme-Linked Immunosorbent Assay,Humans,Male,Metabolic Networks and Pathways,Neoplasm Metastasis,Neoplasm Staging,Prognosis,Prostatic Neoplasms,Proteins,Proto-Oncogene Proteins,Proto-Oncogene Proteins c-met,ROC Curve,Receptors, Growth Factor,Tumor Cells, Cultured,Tumor Markers, Biological,Urinalysis,",1,147,No,True Negative
0.3,19478806,Quantitative RT-PCR gene expression analysis of laser microdissected tissue samples.,Nature protocols,"Heidi S Erickson, Paul S Albert, John W Gillespie, Jaime null Rodriguez-canales, W null Marston linehan, Peter A Pinto, Rodrigo F Chuaqui, Michael R Emmert-buck, ","Pathogenetics Unit, Laboratory of Pathology and Urologic Oncology Branch, National Cancer Institute, NIH, Bethesda, MD, USA., ","Animals,Female,Frozen Sections,Gene Expression Profiling,Humans,Lasers,Male,Microdissection,RNA, Messenger,Reverse Transcriptase Polymerase Chain Reaction,",1,147,No,True Negative
0.3,19457807,Imaging localized prostate cancer: current approaches and new developments.,AJR. American journal of roentgenology,"Baris null Turkbey, Paul S Albert, Karen null Kurdziel, Peter L Choyke, ","Molecular Imaging Program, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-1088, USA., ","Diagnostic Imaging,Humans,Image Enhancement,Male,Middle Aged,Prostatic Neoplasms,",1,147,No,True Negative
0.3,19417015,A phase I trial of enzastaurin in patients with recurrent gliomas.,Clinical cancer research : an official journal of the American Association for Cancer Research,"Teri N Kreisl, Lyndon null Kim, Kraig null Moore, Paul null Duic, Svetlana null Kotliarova, Jennifer null Walling, Luna null Musib, Donald null Thornton, Paul S Albert, Howard A Fine, ","Neuro-Oncology Branch and Biometric Research Branch, National Cancer Institute, National Institute of Neurological Disorder and Stroke, NIH, Bethesda, MD 20892, USA., ","Adult,Area Under Curve,Cross-Over Studies,Dose-Response Relationship, Drug,Glioma,Glycogen Synthase Kinase 3,Humans,Indoles,Long QT Syndrome,Metabolic Clearance Rate,Neoplasm Recurrence, Local,Phosphoproteins,Protein Kinase C,Protein Kinase C beta,Survival Analysis,Thrombocytopenia,",1,147,No,True Negative
0.3,19293260,"EBV-related lymphoproliferative disease complicating therapy with the anti-CD2 monoclonal antibody, siplizumab, in patients with T-cell malignancies.",Clinical cancer research : an official journal of the American Association for Cancer Research,"Deirdre null O'mahony, John C Morris, Maryalice null Stetler-stevenson, Helen null Matthews, Margaret R Brown, Thomas null Fleisher, Stefania null Pittaluga, Mark null Raffeld, Paul S Albert, Dirk null Reitsma, Karen null Kaucic, Luz null Hammershaimb, Thomas A Waldmann, John E Janik, ","Metabolism Branch, Center for Cancer Research, Laboratory of Pathology, National Cancer Institute, Bethesda, Maryland and MedImmune, Inc, Gaithersburg, Maryland, USA., ","Aged,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Antineoplastic Agents,Epstein-Barr Virus Infections,Female,Humans,Leukemia, Large Granular Lymphocytic,Leukemia-Lymphoma, Adult T-Cell,Lymphocyte Depletion,Lymphoproliferative Disorders,Male,Middle Aged,Positron-Emission Tomography,Sialic Acid Binding Ig-like Lectin 2,Tomography, X-Ray Computed,",1,147,No,True Negative
0.3,19184977,A finite mixture survival model to characterize risk groups of neuroblastoma.,Statistics in medicine,"Sally null Hunsberger, Paul S Albert, Wendy B London, ","Biometric Research Branch, National Cancer Institute, 6130 Executive Boulevard, Rm 8120, Rockville, MD 20852, USA. sallyh@ctep.nci.nih.gov, ","Age of Onset,Child,Child, Preschool,Cohort Studies,Genes, myc,Humans,Infant,Models, Statistical,Neoplasm Staging,Neuroblastoma,Risk Assessment,Survival Analysis,",1,147,No,True Negative
0.3,19139019,Inflammation-associated serum and colon markers as indicators of dietary attenuation of colon carcinogenesis in ob/ob mice.,"Cancer prevention research (Philadelphia, Pa.)","Roycelynn A Mentor-marcel, Gerd null Bobe, Kathleen G Barrett, Matthew R Young, Paul S Albert, Maurice R Bennink, Elaine null Lanza, Nancy H Colburn, ","Laboratory of Cancer Prevention, Center for Cancer Research, National Cancer Institute-Frederick, 1050 Boyles Street, Frederick, MD 21702, USA. marcelr@mail.nih.gov, ","Animals,Azoxymethane,Carcinogens,Colonic Neoplasms,Cytokines,Diet,Fabaceae,Gene Expression,Inflammation,Interleukin-6,Male,Mice,Mice, Obese,Obesity,Phytotherapy,Plant Extracts,Precancerous Conditions,Reverse Transcriptase Polymerase Chain Reaction,Tumor Markers, Biological,",1,147,No,True Negative
0.3,19117692,Long-term outcomes and toxicity of concurrent paclitaxel and radiotherapy for locally advanced head-and-neck cancer.,"International journal of radiation oncology, biology, physics","Deborah null Citrin, John null Mansueti, Anna null Likhacheva, Linda null Sciuto, Paul S Albert, Susan F Rudy, Theresa null Cooley-zgela, Ana null Cotrim, Beth null Solomon, A Dimitrios Colevas, Angelo null Russo, John C Morris, Laurie null Herscher, Sharon null Smith, Carter null Van waes, ","Radiation Oncology Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA. citrind@mail.nih.gov, ","Adult,Aged,Antineoplastic Agents, Phytogenic,Carcinoma, Squamous Cell,Combined Modality Therapy,Drug Administration Schedule,Feasibility Studies,Female,Fibrosis,Follow-Up Studies,Head and Neck Neoplasms,Humans,Male,Middle Aged,Paclitaxel,Prospective Studies,Radiation Injuries,Radiotherapy Dosage,Skin,Survival Rate,Treatment Outcome,",1,147,No,True Negative
0.3,19114704,Phase II trial of single-agent bevacizumab followed by bevacizumab plus irinotecan at tumor progression in recurrent glioblastoma.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"Teri N Kreisl, Lyndon null Kim, Kraig null Moore, Paul null Duic, Cheryl null Royce, Irene null Stroud, Nancy null Garren, Megan null Mackey, John A Butman, Kevin null Camphausen, John null Park, Paul S Albert, Howard A Fine, ","Neuro-Oncology Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-8200, USA., ","Adult,Aged,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Antineoplastic Agents,Antineoplastic Agents, Phytogenic,Antineoplastic Combined Chemotherapy Protocols,Brain Neoplasms,Camptothecin,Disease-Free Survival,Female,Glioblastoma,Humans,Male,Middle Aged,",1,147,No,True Negative
0.3,19101935,Estimating diagnostic accuracy of multiple binary tests with an imperfect reference standard.,Statistics in medicine,"Paul S Albert, ","Biometric Research Branch, Division of Cancer Treatment and Diagnosis, National Cancer Institute, Bethesda, MD 20892, U.S.A. albertp@ctep.nci.nih.gov","Algorithms,Computer Simulation,Diagnostic Errors,Diagnostic Techniques and Procedures,Enzyme-Linked Immunosorbent Assay,HIV Infections,Human Immunodeficiency Virus Proteins,Humans,Likelihood Functions,Models, Statistical,Predictive Value of Tests,Prevalence,Probability,Reference Standards,Sensitivity and Specificity,",1,147,No,True Negative
0.3,19065655,Dopamine D2 receptor polymorphisms and adenoma recurrence in the Polyp Prevention Trial.,International journal of cancer. Journal international du cancer,"Gwen null Murphy, Amanda J Cross, Leah S Sansbury, Andrew null Bergen, Adeyinka O Laiyemo, Paul S Albert, Zhuoqiao null Wang, Binbing null Yu, Teresa null Lehman, Aravind null Kalidindi, Rama null Modali, Arthur null Schatzkin, Elaine null Lanza, ","Cancer Prevention Fellowship Program, Office of Preventive Oncology, National Cancer Institute, Bethesda, MD 20892, USA. murphygw@mail.nih.gov, ","Adenoma,Adult,Aged,Alcohol Drinking,Colorectal Neoplasms,Diet,Female,Follow-Up Studies,Genotype,Humans,Male,Middle Aged,Neoplasm Recurrence, Local,Polymorphism, Genetic,Receptors, Dopamine D2,Risk Factors,Smoking,",1,147,No,True Negative
0.3,18849014,Hyperplastic polyps and the risk of adenoma recurrence in the polyp prevention trial.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,"Adeyinka O Laiyemo, Gwen null Murphy, Leah B Sansbury, Zhuoqiao null Wang, Paul S Albert, Pamela M Marcus, Robert E Schoen, Amanda J Cross, Arthur null Schatzkin, Elaine null Lanza, ","Cancer Prevention Fellowship Program, Office of Preventive Oncology, National Cancer Institute, Bethesda, Maryland 20892, USA. laiyemoa@mail.nih.gov, ","Adenoma,Aged,Colonic Polyps,Colorectal Neoplasms,Comorbidity,Female,Humans,Hyperplasia,Logistic Models,Male,Middle Aged,Recurrence,Risk Factors,",1,147,No,True Negative
0.3,18587536,Inter-observer variability in the measurement of diffuse intrinsic pontine gliomas.,Journal of neuro-oncology,"Robert M Hayward, Nicolas null Patronas, Eva H Baker, Gilbert null Va©zina, Paul S Albert, Katherine E Warren, ","Pediatric Oncology Branch, National Cancer Institute, National Institutes of Health, 9000 Rockville Pike, Building 10 CRC, Rm 1-3940, Bethesda, MD 20892, USA., ","Brain Stem Neoplasms,Child,Child, Preschool,Clinical Trials, Phase II as Topic,Female,Glioma,Humans,Infant,Magnetic Resonance Imaging,Male,Observer Variation,",1,147,No,True Negative
0.3,18559549,Dietary flavonoids and colorectal adenoma recurrence in the Polyp Prevention Trial.,"Cancer epidemiology, biomarkers ","Gerd null Bobe, Leah B Sansbury, Paul S Albert, Amanda J Cross, Lisa null Kahle, Jason null Ashby, Martha L Slattery, Bette null Caan, Electra null Paskett, Frank null Iber, James Walter Kikendall, Peter null Lance, Cassandra null Daston, James R Marshall, Arthur null Schatzkin, Elaine null Lanza, ","Laboratory of Cancer Prevention, National Cancer Institute-Frederick, Room 110, Building 576, Frederick, MD 21702-1201, USA. gb246f@nih.gov, ","Adenoma,Adult,Aged,Chi-Square Distribution,Colorectal Neoplasms,Female,Flavonoids,Humans,Logistic Models,Male,Middle Aged,Multicenter Studies as Topic,Neoplasm Recurrence, Local,Randomized Controlled Trials as Topic,United States,",1,147,No,True Negative
0.3,18444172,Dietary cooked navy beans and their fractions attenuate colon carcinogenesis in azoxymethane-induced ob/ob mice.,Nutrition and cancer,"Gerd null Bobe, Kathleen G Barrett, Roycelynn A Mentor-marcel, Umberto null Saffiotti, Matthew R Young, Nancy H Colburn, Paul S Albert, Maurice R Bennink, Elaine null Lanza, ","Laboratory of Cancer Prevention, Center for Cancer Research, National Cancer Institute-Frederick, Frederick, Maryland 21702, USA. bobeg@mail.nih.gov, ","Adenocarcinoma,Adenoma,Animals,Anticarcinogenic Agents,Azoxymethane,Carcinogens,Colonic Neoplasms,Fabaceae,Male,Mice,Mice, Obese,Plant Extracts,Random Allocation,Solubility,",1,147,No,True Negative
0.3,18347350,Postpolypectomy colonoscopy surveillance guidelines: predictive accuracy for advanced adenoma at 4 years.,Annals of internal medicine,"Adeyinka O Laiyemo, Gwen null Murphy, Paul S Albert, Leah B Sansbury, Zhuoqiao null Wang, Amanda J Cross, Pamela M Marcus, Bette null Caan, James R Marshall, Peter null Lance, Electra D Paskett, Joel null Weissfeld, Martha L Slattery, Randall null Burt, Frank null Iber, Moshe null Shike, J Walter Kikendall, Elaine null Lanza, Arthur null Schatzkin, ","Cancer Prevention Fellowship Program, Biometry Research Group, Divisionof Cancer Prevention, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA. laiyemoa@mail.nih.gov, ","Adenoma,Adenomatous Polyps,Adult,Aged,Colonic Polyps,Colonoscopy,Colorectal Neoplasms,Female,Humans,Male,Middle Aged,Neoplasm Recurrence, Local,Practice Guidelines as Topic,Risk Assessment,Time Factors,",1,147,No,True Negative
0.3,18322814,Folate and MTHFR: risk of adenoma recurrence in the Polyp Prevention Trial.,"Cancer causes ","Gwen null Murphy, Leah B Sansbury, Amanda J Cross, Rachael null Stolzenberg-solomon, Adeyinka null Laiyemo, Paul S Albert, Zhuoqiao null Wang, Arthur null Schatzkin, Teresa null Lehman, Aravind null Kalidindi, Rama null Modali, Elaine null Lanza, ","Cancer Prevention Fellowship Program, Office of Preventive Oncology, Bethesda, MD, USA. murphygw@mail.nih.gov, ","Adenoma,Aged,Alleles,Colorectal Neoplasms,Female,Folic Acid,Follow-Up Studies,Genotype,Humans,Male,Methylenetetrahydrofolate Reductase (NADPH2),Middle Aged,Neoplasm Recurrence, Local,Odds Ratio,Questionnaires,Vitamin B Complex,",1,147,No,True Negative
0.3,19802353,On Estimating Diagnostic Accuracy From Studies With Multiple Raters and Partial Gold Standard Evaluation.,Journal of the American Statistical Association,"Paul S Albert, Lori E Dodd, ","Biometric Branch, Division of Cancer Treatment and Diagnosis, National Cancer Institute, Bethesda, MD 20892 ( albertp@mail.nih.gov )., ",",",1,147,No,True Negative
0.3,18293002,Detection and characterization of neurotoxicity in cancer patients using proton MR spectroscopy.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,"Emilie A Steffen-smith, Pamela L Wolters, Paul S Albert, Eva H Baker, Kim C Shimoda, Alan S Barnett, Katherine E Warren, ","Pediatric Oncology Branch, National Cancer Institute, Center for Cancer Research, National Institutes of Health (NIH), Bethesda, MD 20892, USA., ","Adolescent,Adult,Aspartic Acid,Child,Child, Preschool,Choline,Creatine,Female,Humans,Magnetic Resonance Imaging,Male,Neoplasms,Neuropsychological Tests,Neurotoxicity Syndromes,Protons,",1,147,No,True Negative
0.3,18056189,A phase I trial of lenalidomide in patients with recurrent primary central nervous system tumors.,Clinical cancer research : an official journal of the American Association for Cancer Research,"Howard A Fine, Lyndon null Kim, Paul S Albert, J Paul Duic, Hilary null Ma, Wei null Zhang, Tanyifor null Tohnya, William D Figg, Cheryl null Royce, ","Neuro-Oncology Branch and Medical Oncology Branch, National Cancer Institute, The National Institute of Neurological Disorders and Stroke, Bethesda, Maryland 20892, USA. hfine@mail.nih.gov, ","Adult,Aged,Aged, 80 and over,Antineoplastic Agents,Central Nervous System Neoplasms,Dose-Response Relationship, Drug,Female,Humans,Kaplan-Meier Estimate,Male,Middle Aged,Neoplasm Recurrence, Local,Thalidomide,",1,147,No,True Negative
0.3,17922874,Patient selection determines the prostate cancer yield of dynamic contrast-enhanced magnetic resonance imaging-guided transrectal biopsies in a closed 3-Tesla scanner.,BJU international,"Anurag K Singh, Axel null Krieger, Jean-baptiste null Lattouf, Peter null Guion, Robert L Grubb, Paul S Albert, Greg null Metzger, Karen null Ullman, Sharon null Smith, Gabor null Fichtinger, Iclal null Ocak, Peter null Choyke, Cynthia null Ma©nard, Jonathan null Coleman, ","Radiation Oncology Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-1642, USA. Anurag.Singh@RoswellPark.org, ","Aged,Biopsy, Needle,Cohort Studies,Contrast Media,Digital Rectal Examination,Humans,Magnetic Resonance Imaging,Magnetic Resonance Imaging, Interventional,Male,Middle Aged,Patient Selection,Predictive Value of Tests,Prostate,Prostate-Specific Antigen,Prostatic Neoplasms,Sensitivity and Specificity,Ultrasonography, Interventional,",1,147,No,True Negative
0.3,17885055,Dynamic contrast-enhanced MRI of prostate cancer at 3 T: a study of pharmacokinetic parameters.,AJR. American journal of roentgenology,"Iclal null Ocak, Marcelino null Bernardo, Greg null Metzger, Tristan null Barrett, Peter null Pinto, Paul S Albert, Peter L Choyke, ","Molecular Imaging Program, Center for Cancer Research, National Cancer Institute, Bethesda, MD 20892, USA., ","Aged,Computer Simulation,Contrast Media,Gadolinium DTPA,Humans,Image Enhancement,Image Interpretation, Computer-Assisted,Magnetic Resonance Imaging,Male,Middle Aged,Models, Biological,Prostatic Neoplasms,Reproducibility of Results,Sensitivity and Specificity,",1,147,No,True Negative
